id,orig_label,premise,hypothesis,attack_label,after_attack
1,entailment,而 我 当初 认为 这 是 一个 特权 ， 我 现在 仍然 这样 想 ， 我 是 唯一 的 922 ex - o ， 也 是 我 的 affc 空军,我 的 印象 是 ， 我 是 affc 空军 职业 领域 唯一 拥有 这个 数字 的 人 。,neutral,我 的 印象 是 ， 我 就是说 affc 空军 职业 领域 但 拥有 这个 数字 的 成年人 。
2,entailment,而 我 当初 认为 这 是 一个 特权 ， 我 现在 仍然 这样 想 ， 我 是 唯一 的 922 ex - o ， 也 是 我 的 affc 空军,我 的 印象 是 ， 我 是 affc 空军 职业 领域 唯一 拥有 这个 数字 的 人 。,contradiction,我 的 印象 是 ， 我 是 affc 虚无 职业 领域 唯一 所有 这个 数字 的 人 。
3,contradiction,他们 告诉 我 ， 呃 ， 我 最后 会 被 叫到 一个 人 那里 去 见面 。,我 从来 没有 被 告知 任何 与 任何人 会面 。,neutral,我 素来 简直 使得 报告 甚至 与会 任何人 会面 。
4,contradiction,他们 告诉 我 ， 呃 ， 我 最后 会 被 叫到 一个 人 那里 去 见面 。,我 从来 没有 被 告知 任何 与 任何人 会面 。,Failed,我 从来 没有 被 告知 任何 与 任何人 会面 。
5,entailment,他们 告诉 我 ， 呃 ， 我 最后 会 被 叫到 一个 人 那里 去 见面 。,我 被 告知 将 有 一个 人 被 叫 进来 与 我 见面 。,neutral,我 被 告知 将 有 一个 成年人 被 鸣叫 进来 与 我 见面 。
6,entailment,他们 告诉 我 ， 呃 ， 我 最后 会 被 叫到 一个 人 那里 去 见面 。,我 被 告知 将 有 一个 人 被 叫 进来 与 我 见面 。,contradiction,真主 被 告知 将 拥有 一个 成年人 被 叫 进来 与 我 见面 。
7,neutral,他们 告诉 我 ， 呃 ， 我 最后 会 被 叫到 一个 人 那里 去 见面 。,那个 人 来得 有 点 晚 。,entailment,那个 人 来得 有 点 后面 。
8,neutral,他们 告诉 我 ， 呃 ， 我 最后 会 被 叫到 一个 人 那里 去 见面 。,那个 人 来得 有 点 晚 。,contradiction,难道 人 来得 有 点 晚 。
9,contradiction,你 可以 讲 的 太 多 了 ， 我 就 不 提 了 。,我 想 把 我 知道 的 关于 那件 事 一切 都 告诉 你 ！,neutral,我 想 举办 我 知情 的 关于 那件 事 全体 都 告诉 你 ！
10,contradiction,你 可以 讲 的 太 多 了 ， 我 就 不 提 了 。,我 想 把 我 知道 的 关于 那件 事 一切 都 告诉 你 ！,Failed,我 想 把 我 知道 的 关于 那件 事 一切 都 告诉 你 ！
11,neutral,你 可以 讲 的 太 多 了 ， 我 就 不 提 了 。,我 不 会 谈论 这 座 城市 的 历史 ， 因为 有 太 多 的 话 要 说 。,Failed,我 不 会 谈论 这 座 城市 的 历史 ， 因为 有 太 多 的 话 要 说 。
12,neutral,你 可以 讲 的 太 多 了 ， 我 就 不 提 了 。,我 不 会 谈论 这 座 城市 的 历史 ， 因为 有 太 多 的 话 要 说 。,contradiction,我 任何 说 谈论 这 座 城市 的 历史学 ， 自从 有 非常 数以万计 的 话 要 言 。
13,contradiction,这 是 我们 首要 需要 解救 的 事情 ， 因为 没有 任何 方法 可以 将 一 枚 20 兆吨 重 的 氢弹 从 一 架 30 ， 一 架 ,我们 不在乎 拯救 什么 。,neutral,在下 审查 急救 多么 。
14,contradiction,这 是 我们 首要 需要 解救 的 事情 ， 因为 没有 任何 方法 可以 将 一 枚 20 兆吨 重 的 氢弹 从 一 架 30 ， 一 架 ,我们 不在乎 拯救 什么 。,entailment,我们 看看 挽救 哪些 。
15,neutral,这 是 我们 首要 需要 解救 的 事情 ， 因为 没有 任何 方法 可以 将 一 枚 20 兆吨 重 的 氢弹 从 一 架 30 ， 一 架 ,我们 想减少 氢弹 ， 因为 它 太 难对付 了 。,entailment,我们 想减少 氢弹 ， 原因 它 巴巴 难对付 了 。
16,neutral,这 是 我们 首要 需要 解救 的 事情 ， 因为 没有 任何 方法 可以 将 一 枚 20 兆吨 重 的 氢弹 从 一 架 30 ， 一 架 ,我们 想减少 氢弹 ， 因为 它 太 难对付 了 。,contradiction,我们 想减少 氢弹 ， 因为 它 十分 难对付 了 。
17,contradiction,我 不 知道 为什么 。,我 很 确定 是 为什么 。,neutral,我 至极 测量 就是说 为什么 。
18,contradiction,我 不 知道 为什么 。,我 很 确定 是 为什么 。,entailment,我 至极 确定 是 为什么 。
19,entailment,我 不 知道 为什么 。,我 不 知道 为什么 它 会 发生 。,neutral,真主 不 知道 为什么 它 会 发生 。
20,entailment,我 不 知道 为什么 。,我 不 知道 为什么 它 会 发生 。,contradiction,我 都 知道 为什么 它 会 发生 。
21,contradiction,这 是 fannie flono ， 她 在 佐治亚州 奥古斯塔 长大 ， 她 会讲 述 她 童年 时 的 一些 故事 。,芬妮 . 弗洛 诺 不得不 重新 安排 时间 ， 今天 无法 告诉 我们 任何 事情 。,neutral,芬妮 . 弗洛 诺 不得不 重新 安排 时间 ， 今天 无法 告诉 我们 甚 事情 。
22,contradiction,这 是 fannie flono ， 她 在 佐治亚州 奥古斯塔 长大 ， 她 会讲 述 她 童年 时 的 一些 故事 。,芬妮 . 弗洛 诺 不得不 重新 安排 时间 ， 今天 无法 告诉 我们 任何 事情 。,entailment,芬妮 . 弗洛 诺 不得不 重新 编排 时候 ， 现在 莫 告 我们 甚至 物 。
